
[2026-01-11 23:19:38] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 08:57:14] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 08:57:14] | ID: Unknown | Email: Unknown | Type: AttributeError | Function: run | Message: Error: type object 'StaffManager' has no attribute 'run_staff_admin_menu'
[2026-01-12 08:57:19] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 08:57:56] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 08:57:56] | ID: Unknown | Email: Unknown | Type: AttributeError | Function: run | Message: Error: type object 'StaffManager' has no attribute 'run_staff_admin_menu'
[2026-01-12 09:00:02] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:00:04] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 09:00:15] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 09:01:58] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:02:01] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 09:03:35] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:03:39] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 09:04:13] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:04:19] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 09:08:55] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:09:03] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 09:09:25] | ID: Unknown | Email: Unknown | Type: INFO | Function: inventory_management | Message: Selected Inventory Management
[2026-01-12 09:09:50] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 09:09:59] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 09:16:54] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:16:56] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 09:18:28] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:18:29] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:18:43] | ID: Unknown | Email: Unknown | Type: TypeError | Function: run | Message: Error: float() argument must be a string or a real number, not 'NoneType'
[2026-01-12 09:18:55] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:19:02] | ID: Unknown | Email: Unknown | Type: TypeError | Function: run | Message: Error: float() argument must be a string or a real number, not 'NoneType'
[2026-01-12 09:19:31] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:20:03] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:20:07] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 09:21:45] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:21:46] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:21:56] | ID: Unknown | Email: Unknown | Type: TypeError | Function: run | Message: Error: float() argument must be a string or a real number, not 'NoneType'
[2026-01-12 09:23:10] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:23:13] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:23:33] | ID: Unknown | Email: Unknown | Type: AttributeError | Function: run | Message: Error: 'AdminOrderManager' object has no attribute 'perform_cancel'
[2026-01-12 09:26:33] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:26:35] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:29:51] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:29:54] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:32:55] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:32:59] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:33:39] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 09:34:12] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 09:41:44] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:41:46] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:50:02] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:50:03] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 09:56:25] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 09:56:27] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 10:16:58] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:17:00] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 10:17:37] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 10:17:45] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 10:18:17] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 10:18:27] | ID: Unknown | Email: Unknown | Type: INFO | Function: inventory_management | Message: Selected Inventory Management
[2026-01-12 10:27:54] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:27:57] | ID: Unknown | Email: Unknown | Type: INFO | Function: exit | Message: Logged out from Admin Dashboard
[2026-01-12 10:28:10] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Opened Admin Dashboard
[2026-01-12 10:28:12] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 10:28:16] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
[2026-01-12 10:28:21] | ID: Unknown | Email: Unknown | Type: INFO | Function: staff_management | Message: Selected Staff Management
[2026-01-12 10:28:26] | ID: Unknown | Email: Unknown | Type: INFO | Function: inventory_management | Message: Selected Inventory Management
[2026-01-12 10:28:31] | ID: Unknown | Email: Unknown | Type: INFO | Function: run | Message: Selected Sales Report
[2026-01-12 10:28:38] | ID: Unknown | Email: Unknown | Type: INFO | Function: menu_management | Message: Selected Menu Management
[2026-01-12 10:28:46] | ID: Unknown | Email: Unknown | Type: INFO | Function: admin_order | Message: Selected Order Management
